ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90_94,F_95_99,F_100Plus,F_Unstated,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90_94,M_95_99,M_100Plus,M_Unstated,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90_94,T_95_99,T_100Plus,T_Unstated,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Murang'a,KE021,532669,523940,1056609,54819,56687,57807,50160,37212,32975,36354,34523,31021,28255,23528,22035,15823,14856,13123,9160,6312,4001,2112,1205,695,6,55695,57564,59951,55307,38214,31823,35380,34374,31951,28548,22188,20187,14624,13356,11534,5793,3811,2163,866,451,152,8,110514,114251,117758,105467,75426,64798,71734,68897,62972,56803,45716,42222,30447,28212,24657,14953,10123,6164,2978,1656,847,14,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kiambu,KE022,1230454,1187146,2417600,138012,120815,114114,110122,145119,131143,117478,91096,69940,54018,40104,30232,19355,15432,12420,8337,5666,3620,1733,1114,566,18,140129,120985,113216,101799,122974,122818,112118,90232,73113,58582,42612,31759,19630,14543,11176,5183,3323,1791,677,364,92,30,278141,241800,227330,211921,268093,253961,229596,181328,143053,112600,82716,61991,38985,29975,23596,13520,8989,5411,2410,1478,658,48,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Turkana,KE023,448868,478087,926955,65278,71086,67145,52400,43607,36961,29351,20632,16319,11777,8472,6335,6355,4543,4252,2013,1309,614,243,117,57,2,66151,74039,75113,66923,50983,38856,27944,19355,16749,11855,8915,5674,5453,3555,3271,1574,922,481,161,81,31,1,131429,145125,142258,119323,94590,75817,57295,39987,33068,23632,17387,12009,11808,8098,7523,3587,2231,1095,404,198,88,3,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,West Pokot,KE024,314213,307013,621226,56831,54220,47326,33090,28462,21956,18395,11033,9729,8370,5871,4270,4500,3772,3052,1410,941,481,255,140,108,1,57159,54103,47848,34691,25111,20153,17134,11105,9719,8630,5795,4118,3742,2980,2456,1117,616,278,141,77,38,2,113990,108323,95174,67781,53573,42109,35529,22138,19448,17000,11666,8388,8242,6752,5508,2527,1557,759,396,217,146,3,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Samburu,KE025,153546,156774,310320,25220,26167,23280,16313,14940,11505,9313,5466,4710,4214,2830,2108,2425,1547,1560,748,662,303,134,75,25,1,25461,26796,25063,19865,14308,10989,8384,5302,5322,4110,2667,2089,2194,1246,1350,688,507,229,110,64,29,1,50681,52963,48343,36178,29248,22494,17697,10768,10032,8324,5497,4197,4619,2793,2910,1436,1169,532,244,139,54,2,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Trans Nzoia,KE026,501206,489107,990313,64232,71287,74192,60915,44351,36224,34425,23253,22284,16809,13417,12207,9082,6540,4778,3060,1942,1318,454,308,125,3,65326,71635,75156,63629,40757,31725,30115,24055,21786,16867,12519,10888,8807,6137,4371,2347,1558,886,322,189,31,1,129558,142922,149348,124544,85108,67949,64540,47308,44070,33676,25936,23095,17889,12677,9149,5407,3500,2204,776,497,156,4,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Uasin Gishu,KE027,582889,580269,1163158,69877,69610,73534,66266,66126,54055,48143,32833,27058,21676,14210,12432,8462,6456,4474,3212,2017,1258,575,394,218,3,70346,70942,73326,65665,61489,52140,45310,35385,29544,23685,15566,12344,8519,6187,4223,2505,1548,824,375,264,73,9,140223,140552,146860,131931,127615,106195,93453,68218,56602,45361,29776,24776,16981,12643,8697,5717,3565,2082,950,658,291,12,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Elgeyo-Marakwet,KE028,227151,227317,454468,30346,31929,32635,27112,21459,16699,15030,9851,8865,8070,5279,5291,4085,3302,2847,1729,1290,682,337,202,110,1,30586,32772,32906,28140,21407,16283,13918,10791,9336,8304,5084,5075,3997,3329,2415,1322,797,481,198,133,43,0,60932,64701,65541,55252,42866,32982,28948,20642,18201,16374,10363,10366,8082,6631,5262,3051,2087,1163,535,335,153,1,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Nandi,KE029,444430,441259,885689,52679,57623,62390,53371,41307,34366,34531,21144,19734,16966,11982,11081,8005,6585,4690,3231,1962,1375,676,492,238,2,53291,58511,63723,55370,39138,30974,30576,23955,21156,17645,11823,10355,8043,6051,4349,2758,1684,990,472,316,79,0,105970,116134,126113,108741,80445,65340,65107,45099,40890,34611,23805,21436,16048,12636,9039,5989,3646,2365,1148,808,317,2,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Baringo,KE030,330428,336322,666750,46523,48679,49207,38624,31257,24365,20461,14075,12028,10827,8157,6702,5618,4529,3882,2022,1728,899,440,278,126,1,48508,50876,52385,42324,30588,22893,19379,14650,12493,10663,7668,6439,5613,4369,3620,1679,1116,598,253,141,66,1,95031,99555,101592,80948,61845,47258,39840,28725,24521,21490,15825,13141,11231,8898,7502,3701,2844,1497,693,419,192,2,,,,,,,,,,,,,,,,,,,,,,,,
